name,tokens,lemmes,keywords,tfidf,score
Malt,"['malt', 'entreprise', 'services', 'spécialisée', 'commerce', 'offrons', 'gamme', 'complète', 'solutions', 'aider', 'client', 'réussir', 'affaires']","['malt', 'entreprise', 'services', 'spécialisée', 'commerce', 'offrons', 'gamme', 'complète', 'solutions', 'aider', 'client', 'réussir', 'affaires']","['malt', 'entreprise', 'services', 'spécialisée', 'commerce', 'offrons', 'gamme', 'complète', 'solutions', 'aider']","[('affaires', np.float64(0.16666666666666666)), ('aider', np.float64(0.16666666666666666)), ('aider client', np.float64(0.16666666666666666)), ('aider client réussir', np.float64(0.16666666666666666)), ('client', np.float64(0.16666666666666666)), ('client réussir', np.float64(0.16666666666666666)), ('client réussir affaires', np.float64(0.16666666666666666)), ('commerce', np.float64(0.16666666666666666)), ('commerce offrons', np.float64(0.16666666666666666)), ('commerce offrons gamme', np.float64(0.16666666666666666)), ('complète', np.float64(0.16666666666666666)), ('complète solutions', np.float64(0.16666666666666666)), ('complète solutions aider', np.float64(0.16666666666666666)), ('entreprise', np.float64(0.16666666666666666)), ('entreprise services', np.float64(0.16666666666666666)), ('entreprise services spécialisée', np.float64(0.16666666666666666)), ('gamme', np.float64(0.16666666666666666)), ('gamme complète', np.float64(0.16666666666666666)), ('gamme complète solutions', np.float64(0.16666666666666666)), ('malt', np.float64(0.16666666666666666))]",5
Freelancer,"['freelance', 'service', 'online', 'hire', 'platform', 'bonjour', 'présente', 'freelancer', 'entreprise', 'spécialisée', 'services', 'freelancing', 'plateforme', 'ligne', 'offrons', 'solution', 'efficace', 'entreprises', 'recherche', 'talent', 'qualifié', 'opportunités', 'professionnel', 'indépendant', 'recherche', 'projets', 'intéressants', 'expertise', 'freelancing', 'plateforme', 'ligne', 'permettent', 'offrir', 'service', 'haute', 'qualité', 'moment', 'partout', 'monde']","['freelance', 'service', 'online', 'hire', 'platform', 'bonjour', 'présente', 'freelancer', 'entreprise', 'spécialisée', 'services', 'freelancing', 'plateforme', 'ligne', 'offrons', 'solution', 'efficace', 'entreprises', 'recherche', 'talent', 'qualifié', 'opportunités', 'professionnel', 'indépendant', 'recherche', 'projets', 'intéressants', 'expertise', 'freelancing', 'plateforme', 'ligne', 'permettent', 'offrir', 'service', 'haute', 'qualité', 'moment', 'partout', 'monde']","['service', 'freelancing', 'plateforme', 'ligne', 'recherche', 'freelance', 'online', 'hire', 'platform', 'bonjour']","[('freelancing', np.float64(0.17541160386140586)), ('freelancing plateforme', np.float64(0.17541160386140586)), ('freelancing plateforme ligne', np.float64(0.17541160386140586)), ('ligne', np.float64(0.17541160386140586)), ('plateforme', np.float64(0.17541160386140586)), ('plateforme ligne', np.float64(0.17541160386140586)), ('recherche', np.float64(0.17541160386140586)), ('service', np.float64(0.17541160386140586)), ('bonjour', np.float64(0.08770580193070293)), ('bonjour présente', np.float64(0.08770580193070293)), ('bonjour présente freelancer', np.float64(0.08770580193070293)), ('efficace', np.float64(0.08770580193070293)), ('efficace entreprises', np.float64(0.08770580193070293)), ('efficace entreprises recherche', np.float64(0.08770580193070293)), ('entreprise', np.float64(0.08770580193070293)), ('entreprise spécialisée', np.float64(0.08770580193070293)), ('entreprise spécialisée services', np.float64(0.08770580193070293)), ('entreprises', np.float64(0.08770580193070293)), ('entreprises recherche', np.float64(0.08770580193070293)), ('entreprises recherche talent', np.float64(0.08770580193070293))]",8
Clutch,"['clutch', 'entreprise', 'spécialisée', 'services', 'développement', 'web', 'mobile', 'conception', 'utilisons', 'technologies', 'avancées', 'créer', 'solutions', 'efficace', 'durable', 'client', 'point', 'fort', 'équipe', 'expérimentée', 'processus', 'agiles', 'permettent', 'livrer', 'produits', 'haute', 'qualité', 'temp']","['clutch', 'entreprise', 'spécialisée', 'services', 'développement', 'web', 'mobile', 'conception', 'utilisons', 'technologies', 'avancées', 'créer', 'solutions', 'efficace', 'durable', 'client', 'point', 'fort', 'équipe', 'expérimentée', 'processus', 'agiles', 'permettent', 'livrer', 'produits', 'haute', 'qualité', 'temp']","['clutch', 'entreprise', 'spécialisée', 'services', 'développement', 'web', 'mobile', 'conception', 'utilisons', 'technologies']","[('agiles', np.float64(0.1111111111111111)), ('agiles permettent', np.float64(0.1111111111111111)), ('agiles permettent livrer', np.float64(0.1111111111111111)), ('avancées', np.float64(0.1111111111111111)), ('avancées créer', np.float64(0.1111111111111111)), ('avancées créer solutions', np.float64(0.1111111111111111)), ('client', np.float64(0.1111111111111111)), ('client point', np.float64(0.1111111111111111)), ('client point fort', np.float64(0.1111111111111111)), ('clutch', np.float64(0.1111111111111111)), ('clutch entreprise', np.float64(0.1111111111111111)), ('clutch entreprise spécialisée', np.float64(0.1111111111111111)), ('conception', np.float64(0.1111111111111111)), ('conception utilisons', np.float64(0.1111111111111111)), ('conception utilisons technologies', np.float64(0.1111111111111111)), ('créer', np.float64(0.1111111111111111)), ('créer solutions', np.float64(0.1111111111111111)), ('créer solutions efficace', np.float64(0.1111111111111111)), ('durable', np.float64(0.1111111111111111)), ('durable client', np.float64(0.1111111111111111))]",5
Sortlist,"['sortlist', 'entreprise', 'innovatrice', 'offre', 'service', 'marketing', 'intégral', 'petite', 'moyennes', 'entreprises', 'employons', 'technologies', 'avancées', 'aider', 'atteindre', 'objectifs', 'croissance', 'commerciale', 'équipe', 'spécialisée', 'création', 'campagnes', 'efficace', 'gestion', 'médias', 'sociaux', 'données']","['sortlist', 'entreprise', 'innovatrice', 'offre', 'service', 'marketing', 'intégral', 'petite', 'moyennes', 'entreprises', 'employons', 'technologies', 'avancées', 'aider', 'atteindre', 'objectifs', 'croissance', 'commerciale', 'équipe', 'spécialisée', 'création', 'campagnes', 'efficace', 'gestion', 'médias', 'sociaux', 'données']","['sortlist', 'entreprise', 'innovatrice', 'offre', 'service', 'marketing', 'intégral', 'petite', 'moyennes', 'entreprises']","[('aider', np.float64(0.11322770341445956)), ('aider atteindre', np.float64(0.11322770341445956)), ('aider atteindre objectifs', np.float64(0.11322770341445956)), ('atteindre', np.float64(0.11322770341445956)), ('atteindre objectifs', np.float64(0.11322770341445956)), ('atteindre objectifs croissance', np.float64(0.11322770341445956)), ('avancées', np.float64(0.11322770341445956)), ('avancées aider', np.float64(0.11322770341445956)), ('avancées aider atteindre', np.float64(0.11322770341445956)), ('campagnes', np.float64(0.11322770341445956)), ('campagnes efficace', np.float64(0.11322770341445956)), ('campagnes efficace gestion', np.float64(0.11322770341445956)), ('commerciale', np.float64(0.11322770341445956)), ('commerciale équipe', np.float64(0.11322770341445956)), ('commerciale équipe spécialisée', np.float64(0.11322770341445956)), ('croissance', np.float64(0.11322770341445956)), ('croissance commerciale', np.float64(0.11322770341445956)), ('croissance commerciale équipe', np.float64(0.11322770341445956)), ('création', np.float64(0.11322770341445956)), ('création campagnes', np.float64(0.11322770341445956))]",5
GoodFirms,"['javascript', 'cookie', 'introducing', 'goodfirms', 'leading', 'provider', 'innovativ', 'web', 'development', 'service', 'leverage', 'latest', 'technologie', 'javascript', 'cookie', 'team', 'experienced', 'developers', 'specializes', 'delivering', 'high', 'quality', 'solution', 'meet', 'unique', 'business', 'needs', 'ensuring', 'seamless', 'user', 'experience', 'focus', 'excellenc', 'customer', 'satisfaction', 'goodfirms', 'ideal', 'partner', 'organization', 'looking', 'elevate', 'online', 'presence']","['javascript', 'cookie', 'introducing', 'goodfirms', 'leading', 'provider', 'innovativ', 'web', 'development', 'service', 'leverage', 'latest', 'technologie', 'javascript', 'cookie', 'team', 'experienced', 'developers', 'specializes', 'delivering', 'high', 'quality', 'solution', 'meet', 'unique', 'business', 'needs', 'ensuring', 'seamless', 'user', 'experience', 'focus', 'excellenc', 'customer', 'satisfaction', 'goodfirms', 'ideal', 'partner', 'organization', 'looking', 'elevate', 'online', 'presence']","['javascript', 'cookie', 'goodfirms', 'introducing', 'leading', 'provider', 'innovativ', 'web', 'development', 'service']","[('cookie', np.float64(0.17277368511627203)), ('goodfirms', np.float64(0.17277368511627203)), ('javascript', np.float64(0.17277368511627203)), ('javascript cookie', np.float64(0.17277368511627203)), ('business', np.float64(0.08638684255813601)), ('business needs', np.float64(0.08638684255813601)), ('business needs ensuring', np.float64(0.08638684255813601)), ('cookie introducing', np.float64(0.08638684255813601)), ('cookie introducing goodfirms', np.float64(0.08638684255813601)), ('cookie team', np.float64(0.08638684255813601)), ('cookie team experienced', np.float64(0.08638684255813601)), ('customer', np.float64(0.08638684255813601)), ('customer satisfaction', np.float64(0.08638684255813601)), ('customer satisfaction goodfirms', np.float64(0.08638684255813601)), ('delivering', np.float64(0.08638684255813601)), ('delivering high', np.float64(0.08638684255813601)), ('delivering high quality', np.float64(0.08638684255813601)), ('developers', np.float64(0.08638684255813601)), ('developers specializes', np.float64(0.08638684255813601)), ('developers specializes delivering', np.float64(0.08638684255813601))]",8
Kompass,"['kompass', 'kompass', 'entreprise', 'spécialisée', 'services', 'gestion', 'croissance']","['kompass', 'kompass', 'entreprise', 'spécialisée', 'services', 'gestion', 'croissance']","['kompass', 'entreprise', 'spécialisée', 'services', 'gestion', 'croissance']","[('kompass', np.float64(0.4472135954999579)), ('croissance', np.float64(0.22360679774997896)), ('entreprise', np.float64(0.22360679774997896)), ('entreprise spécialisée', np.float64(0.22360679774997896)), ('entreprise spécialisée services', np.float64(0.22360679774997896)), ('gestion', np.float64(0.22360679774997896)), ('gestion croissance', np.float64(0.22360679774997896)), ('kompass entreprise', np.float64(0.22360679774997896)), ('kompass entreprise spécialisée', np.float64(0.22360679774997896)), ('kompass kompass', np.float64(0.22360679774997896)), ('kompass kompass entreprise', np.float64(0.22360679774997896)), ('services', np.float64(0.22360679774997896)), ('services gestion', np.float64(0.22360679774997896)), ('services gestion croissance', np.float64(0.22360679774997896)), ('spécialisée', np.float64(0.22360679774997896)), ('spécialisée services', np.float64(0.22360679774997896)), ('spécialisée services gestion', np.float64(0.22360679774997896))]",5
Pappers,"['paper', 'leading', 'provider', 'innovativ', 'paper', 'product', 'service', 'leveraging', 'cutting', 'edge', 'technologie', 'deliver', 'exceptional', 'results', 'expertise', 'industry', 'earned', 'reputation', 'trusted', 'partner', 'businesse', 'seeking', 'high', 'quality', 'solution', 'meet', 'unique', 'need']","['paper', 'leading', 'provider', 'innovativ', 'paper', 'product', 'service', 'leveraging', 'cutting', 'edge', 'technologie', 'deliver', 'exceptional', 'results', 'expertise', 'industry', 'earned', 'reputation', 'trusted', 'partner', 'businesse', 'seeking', 'high', 'quality', 'solution', 'meet', 'unique', 'need']","['paper', 'leading', 'provider', 'innovativ', 'product', 'service', 'leveraging', 'cutting', 'edge', 'technologie']","[('paper', np.float64(0.2195285199793807)), ('businesse', np.float64(0.10976425998969035)), ('businesse seeking', np.float64(0.10976425998969035)), ('businesse seeking high', np.float64(0.10976425998969035)), ('cutting', np.float64(0.10976425998969035)), ('cutting edge', np.float64(0.10976425998969035)), ('cutting edge technologie', np.float64(0.10976425998969035)), ('deliver', np.float64(0.10976425998969035)), ('deliver exceptional', np.float64(0.10976425998969035)), ('deliver exceptional results', np.float64(0.10976425998969035)), ('earned', np.float64(0.10976425998969035)), ('earned reputation', np.float64(0.10976425998969035)), ('earned reputation trusted', np.float64(0.10976425998969035)), ('edge', np.float64(0.10976425998969035)), ('edge technologie', np.float64(0.10976425998969035)), ('edge technologie deliver', np.float64(0.10976425998969035)), ('exceptional', np.float64(0.10976425998969035)), ('exceptional results', np.float64(0.10976425998969035)), ('exceptional results expertise', np.float64(0.10976425998969035)), ('expertise', np.float64(0.10976425998969035))]",5
Fiverr Business,"['fiverr', 'business', 'entreprise', 'services', 'créative', 'ligne', 'offre', 'service', 'client', 'améliorer', 'présence', 'marché', 'services', 'incluent', 'solution', 'marketing', 'service', 'créatif', 'gestion', 'affaires']","['fiverr', 'business', 'entreprise', 'services', 'créative', 'ligne', 'offre', 'service', 'client', 'améliorer', 'présence', 'marché', 'services', 'incluent', 'solution', 'marketing', 'service', 'créatif', 'gestion', 'affaires']","['services', 'service', 'fiverr', 'business', 'entreprise', 'créative', 'ligne', 'offre', 'client', 'améliorer']","[('service', np.float64(0.25607375986579195)), ('services', np.float64(0.25607375986579195)), ('affaires', np.float64(0.12803687993289598)), ('améliorer', np.float64(0.12803687993289598)), ('améliorer présence', np.float64(0.12803687993289598)), ('améliorer présence marché', np.float64(0.12803687993289598)), ('business', np.float64(0.12803687993289598)), ('business entreprise', np.float64(0.12803687993289598)), ('business entreprise services', np.float64(0.12803687993289598)), ('client', np.float64(0.12803687993289598)), ('client améliorer', np.float64(0.12803687993289598)), ('client améliorer présence', np.float64(0.12803687993289598)), ('créatif', np.float64(0.12803687993289598)), ('créatif gestion', np.float64(0.12803687993289598)), ('créatif gestion affaires', np.float64(0.12803687993289598)), ('créative', np.float64(0.12803687993289598)), ('créative ligne', np.float64(0.12803687993289598)), ('créative ligne offre', np.float64(0.12803687993289598)), ('entreprise', np.float64(0.12803687993289598)), ('entreprise services', np.float64(0.12803687993289598))]",5
PeoplePerHour,"['platform', 'building', 'agent', 'tailored', 'solution', 'advanced', 'capabilitie', 'peopleperhour', 'leading', 'provider', 'tailored', 'solution', 'platform', 'offers', 'advanced', 'capabilitie', 'unparalleled', 'customization', 'option', 'meet', 'unique', 'needs', 'client']","['platform', 'building', 'agent', 'tailored', 'solution', 'advanced', 'capabilitie', 'peopleperhour', 'leading', 'provider', 'tailored', 'solution', 'platform', 'offers', 'advanced', 'capabilitie', 'unparalleled', 'customization', 'option', 'meet', 'unique', 'needs', 'client']","['platform', 'tailored', 'solution', 'advanced', 'capabilitie', 'building', 'agent', 'peopleperhour', 'leading', 'provider']","[('advanced', np.float64(0.22360679774997896)), ('advanced capabilitie', np.float64(0.22360679774997896)), ('capabilitie', np.float64(0.22360679774997896)), ('platform', np.float64(0.22360679774997896)), ('solution', np.float64(0.22360679774997896)), ('tailored', np.float64(0.22360679774997896)), ('tailored solution', np.float64(0.22360679774997896)), ('advanced capabilitie peopleperhour', np.float64(0.11180339887498948)), ('advanced capabilitie unparalleled', np.float64(0.11180339887498948)), ('agent', np.float64(0.11180339887498948)), ('agent tailored', np.float64(0.11180339887498948)), ('agent tailored solution', np.float64(0.11180339887498948)), ('building', np.float64(0.11180339887498948)), ('building agent', np.float64(0.11180339887498948)), ('building agent tailored', np.float64(0.11180339887498948)), ('capabilitie peopleperhour', np.float64(0.11180339887498948)), ('capabilitie peopleperhour leading', np.float64(0.11180339887498948)), ('capabilitie unparalleled', np.float64(0.11180339887498948)), ('capabilitie unparalleled customization', np.float64(0.11180339887498948)), ('client', np.float64(0.11180339887498948))]",5
Product Hunt,"['product', 'hunt', 'plateforme', 'lancement', 'produits', 'numérique', 'physique', 'offre', 'services', 'entrepreneur', 'utilise', 'technology', 'web', 'application', 'mobile', 'faciliter', 'processus', 'création', 'promotion', 'distribution', 'produit', 'product', 'hunt', 'connue', 'point', 'fort', 'large', 'base', 'communauté', 'active', 'ressource', 'abondante', 'matière']","['product', 'hunt', 'plateforme', 'lancement', 'produits', 'numérique', 'physique', 'offre', 'services', 'entrepreneur', 'utilise', 'technology', 'web', 'application', 'mobile', 'faciliter', 'processus', 'création', 'promotion', 'distribution', 'produit', 'product', 'hunt', 'connue', 'point', 'fort', 'large', 'base', 'communauté', 'active', 'ressource', 'abondante', 'matière']","['product', 'hunt', 'plateforme', 'lancement', 'produits', 'numérique', 'physique', 'offre', 'services', 'entrepreneur']","[('hunt', np.float64(0.19802950859533489)), ('product', np.float64(0.19802950859533489)), ('product hunt', np.float64(0.19802950859533489)), ('abondante', np.float64(0.09901475429766744)), ('abondante matière', np.float64(0.09901475429766744)), ('active', np.float64(0.09901475429766744)), ('active ressource', np.float64(0.09901475429766744)), ('active ressource abondante', np.float64(0.09901475429766744)), ('application', np.float64(0.09901475429766744)), ('application mobile', np.float64(0.09901475429766744)), ('application mobile faciliter', np.float64(0.09901475429766744)), ('base', np.float64(0.09901475429766744)), ('base communauté', np.float64(0.09901475429766744)), ('base communauté active', np.float64(0.09901475429766744)), ('communauté', np.float64(0.09901475429766744)), ('communauté active', np.float64(0.09901475429766744)), ('communauté active ressource', np.float64(0.09901475429766744)), ('connue', np.float64(0.09901475429766744)), ('connue point', np.float64(0.09901475429766744)), ('connue point fort', np.float64(0.09901475429766744))]",8
